0,1,2,3,4,5
5.0,100.0,2.75,0.0,0.0,0.0
14.0,100.0,2.0,0.0,0.0,0.0
15.0,100.0,1.25,0.0,0.0,0.0
10.0,200.0,2.0,107.03003499656916,77.55839760648087,25.78229941718746
17.0,300.0,2.75,163.58005814254284,91.12039697356522,33.058200642699376
6.0,400.0,2.75,217.78012160211802,100.05079820984975,43.746200390160084
7.0,200.0,2.75,97.29003068059683,67.93159991502762,21.076299162814394
20.0,300.0,1.25,165.0101039558649,109.08480180660263,52.94230140862055
21.0,400.0,3.5,213.08986470103264,93.26280269306153,38.73369860230014
3.0,300.0,3.5,157.9200616106391,83.12860154546797,29.063099646009505
1.0,300.0,2.0,163.3599167689681,96.23359801480547,40.835500840330496
11.0,400.0,2.0,216.87999833375216,109.02059875661507,53.34029992809519
12.0,100.0,0.5,18.239952623844147,16.531879737158306,2.8715001008094987
8.0,100.0,3.5,0.0,0.0,0.0
23.0,200.0,1.25,113.88992425054312,89.14659701986238,32.34959876863286
24.0,200.0,3.5,86.6899499669671,60.71339885238558,17.70349990692921
22.0,500.0,3.5,266.5900392457843,99.50400271918625,47.10549910669215
16.0,200.0,0.5,121.79999612271786,107.85219637909904,49.72489841748029
25.0,400.0,1.25,1067.9179104045033,286.03599639609456,194.24999481998384
9.0,500.0,2.75,270.09996119886637,108.29399980138987,53.17950126482174
2.0,500.0,2.0,270.3599166125059,118.70940215885639,64.15539974113926
18.0,400.0,0.5,1788.1451058201492,500.00002374872565,500.00002374872565
13.0,500.0,0.5,1974.9539205804467,500.00002374872565,500.00002374872565
4.0,300.0,0.5,1435.915008187294,500.00002374872565,500.00002374872565
19.0,500.0,1.25,1462.6720221713185,500.00002374872565,236.12400400452316
